Month,CPI
Jan.1972,95.8
Feb.1972,96.6
Mar.1972,97.2
Apr.1972,98.8
May.1972,99.5
Jun.1972,99.9
Jul.1972,100.8
Aug.1972,101.3
Sep.1972,101.7
Oct.1972,102.1
Nov.1972,102.9
Dec.1972,103.1
Jan.1973,104.1
Feb.1973,104.8
Mar.1973,105.4
Apr.1973,106.7
May.1973,108.3
Jun.1973,109.4
Jul.1973,112.2
Aug.1973,113.8
Sep.1973,114.7
Oct.1973,115.4
Nov.1973,116.1
Dec.1973,117.6
Jan.1974,118.5
Feb.1974,121.9
Mar.1974,123
Apr.1974,126.1
May.1974,127.4
Jun.1974,127.8
Jul.1974,130.4
Aug.1974,132.3
Sep.1974,135.1
Oct.1974,136.3
Nov.1974,137.2
Dec.1974,137.5
Jan.1975,141.3
Feb.1975,143.4
Mar.1975,145.8
Apr.1975,148.9
May.1975,150.4
Jun.1975,150.9
Jul.1975,153.3
Aug.1975,155.2
Sep.1975,157.4
Oct.1975,159.8
Nov.1975,161.4
Dec.1975,162.4
Jan.1976,165.7
Feb.1976,167.8
Mar.1976,169.6
Apr.1976,170.8
May.1976,171.3
Jun.1976,171.7
Jul.1976,175
Aug.1976,177.3
Sep.1976,178.7
Oct.1976,180.6
Nov.1976,181.8
Dec.1976,182.4
Jan.1977,185
Feb.1977,187.2
Mar.1977,190.2
Apr.1977,191.6
May.1977,194.3
Jun.1977,196.7
Jul.1977,198.2
Aug.1977,201.4
Sep.1977,202.2
Oct.1977,202.9
Nov.1977,203.8
Dec.1977,204.1
Jan.1978,204.3
Feb.1978,206.8
Mar.1978,207.3
Apr.1978,208.1
May.1978,211.3
Jun.1978,211.4
Jul.1978,211.8
Aug.1978,212.7
Sep.1978,214.3
Oct.1978,215.3
Nov.1978,216.5
Dec.1978,216.1
Jan.1979,217.8
Feb.1979,220.4
Mar.1979,221.8
Apr.1979,223.9
May.1979,224.6
Jun.1979,226.3
Jul.1979,227.3
Aug.1979,228.4
Sep.1979,230.3
Oct.1979,231.8
Nov.1979,233.4
Dec.1979,234.7
Jan.1980,237.3
Feb.1980,240.8
Mar.1980,243.3
Apr.1980,247.8
May.1980,250.7
Jun.1980,251.7
Jul.1980,253.1
Aug.1980,256.4
Sep.1980,260.1
Oct.1980,262.6
Nov.1980,264.9
Dec.1980,266.8
Jan.1981,269.3
Feb.1981,271.6
Mar.1981,275.2
Apr.1981,278.8
May.1981,282.6
Jun.1981,284.2
Jul.1981,285.1
Aug.1981,286
Sep.1981,289.8
Oct.1981,292.3
Nov.1981,292.4
Dec.1981,293.4
Jan.1982,298.1
Feb.1982,299.6
Mar.1982,303.3
Apr.1982,305.4
May.1982,310.4
Jun.1982,310.9
Jul.1982,313.2
Aug.1982,312.5
Sep.1982,313.2
Oct.1982,314.4
Nov.1982,315.6
Dec.1982,319.7
Jan.1983,322.5
Feb.1983,324.3
Mar.1983,326
Apr.1983,330
May.1983,334.3
Jun.1983,338.4
Jul.1983,339.9
Aug.1983,340.5
Sep.1983,342.5
Oct.1983,343.2
Nov.1983,346.3
Dec.1983,346.1
Jan.1984,349
Feb.1984,350.4
Mar.1984,352.9
Apr.1984,355.3
May.1984,359
Jun.1984,359.9
Jul.1984,361.3
Aug.1984,362.7
Sep.1984,364.9
Oct.1984,366.8
Nov.1984,367
Dec.1984,367.2
Jan.1985,371.3
Feb.1985,372.8
Mar.1985,376.3
Apr.1985,378.3
May.1985,382
Jun.1985,383
Jul.1985,383.1
Aug.1985,383.8
Sep.1985,384.2
Oct.1985,384.7
Nov.1985,385.1
Dec.1985,385.4
Jan.1986,388.1
Feb.1986,390
Mar.1986,390.8
Apr.1986,392.3
May.1986,393.6
Jun.1986,395.5
Jul.1986,395.9
Aug.1986,396.7
Sep.1986,396.8
Oct.1986,398
Nov.1986,398
Dec.1986,398.4
Jan.1987,402.4
Feb.1987,403.8
Mar.1987,405.9
Apr.1987,407.5
May.1987,408.2
Jun.1987,409.3
Jul.1987,409.4
Aug.1987,410.3
Sep.1987,412.1
Oct.1987,412.7
Nov.1987,412.7
Dec.1987,413
Jan.1988,417.9
Feb.1988,419.2
Mar.1988,421.4
Apr.1988,424.4
May.1988,427.8
Jun.1988,430.3
Jul.1988,429.9
Aug.1988,430.9
Sep.1988,434.9
Oct.1988,435.4
Nov.1988,436.4
Dec.1988,439.8
Jan.1989,442.1
Feb.1989,444.3
Mar.1989,449.3
Apr.1989,453.6
May.1989,455.4
Jun.1989,459.4
Jul.1989,458.9
Aug.1989,459.5
Sep.1989,464.5
Oct.1989,466.2
Nov.1989,465.9
Dec.1989,468.4
Jan.1990,475.4
Feb.1990,477.3
Mar.1990,478.7
Apr.1990,481.6
May.1990,483.7
Jun.1990,485.1
Jul.1990,485.9
Aug.1990,488.1
Sep.1990,490.6
Oct.1990,492
Nov.1990,492
Dec.1990,491.3
Jan.1991,498.8
Feb.1991,501.3
Mar.1991,501.8
Apr.1991,503.7
May.1991,506
Jun.1991,505.6
Jul.1991,505.5
Aug.1991,505.9
Sep.1991,506.7
Oct.1991,507.8
Nov.1991,508.1
Dec.1991,510.5
Jan.1992,513.1
Feb.1992,514.3
Mar.1992,515.7
Apr.1992,517.8
May.1992,518.2
Jun.1992,519.2
Jul.1992,518.4
Aug.1992,517.9
Sep.1992,519.8
Oct.1992,521.6
Nov.1992,522.4
Dec.1992,521
Jan.1993,526.4
Feb.1993,528.1
Mar.1993,528.8
Apr.1993,530.7
May.1993,531
Jun.1993,530.3
Jul.1993,528.9
Aug.1993,528.3
Sep.1993,529.4
Oct.1993,530.1
Nov.1993,529.3
Dec.1993,529
Jan.1994,527.6
Feb.1994,529.6
Mar.1994,530.7
Apr.1994,531.8
May.1994,531.8
Jun.1994,537.1
Jul.1994,537.3
Aug.1994,538.2
Sep.1994,539.5
Oct.1994,539.9
Nov.1994,538.3
Dec.1994,537.6
Jan.1995,537.4
Feb.1995,539.2
Mar.1995,539.5
Apr.1995,539.8
May.1995,540.5
Jun.1995,542
Jul.1995,541.5
Aug.1995,540.7
Sep.1995,541.3
Oct.1995,541.3
Nov.1995,539.8
Dec.1995,539.2
Jan.1996,540.1
Feb.1996,542
Mar.1996,542.5
Apr.1996,543.5
May.1996,544.5
Jun.1996,544.4
Jul.1996,544.1
Aug.1996,542.9
Sep.1996,544
Oct.1996,545.1
Nov.1996,543.4
Dec.1996,543.7
Jan.1997,543.3
Feb.1997,544
Mar.1997,546
Apr.1997,548.8
May.1997,549.9
Jun.1997,550.9
Jul.1997,550.8
Aug.1997,551.8
Sep.1997,553
Oct.1997,554.4
Nov.1997,553.8
Dec.1997,553.9
Jan.1998,554.5
Feb.1998,554.5
Mar.1998,555.6
Apr.1998,558.2
May.1998,557.9
Jun.1998,559
Jul.1998,557.6
Aug.1998,558.4
Sep.1998,560.1
Oct.1998,560.2
Nov.1998,558.8
Dec.1998,558.5
Jan.1999,557.3
Feb.1999,558.6
Mar.1999,560
Apr.1999,564.1
May.1999,565.5
Jun.1999,565.2
Jul.1999,564.2
Aug.1999,564.6
Sep.1999,566.5
Oct.1999,567.7
Nov.1999,567.6
Dec.1999,569.8
Jan.2000,569.8
Feb.2000,573.7
Mar.2000,577.4
